	SampleID	Day_cat	Animal	Day	type	BC	UN	WU
37	C_d2_C7	d2	C7	2	calf	-0.26600392	-0.204075346	-0.193732985
38	C_d2_C8	d2	C8	2	calf	-0.132583384	-0.147759504	-0.009458381
39	C_d2_C9	d2	C9	2	calf	-0.148910685	-0.203914442	-0.105324771
40	C_d21_C1	d21	C1	21	calf	0.434812109	0.310682279	0.277067829
41	C_d21_C2	d21	C2	21	calf	0.396442282	0.271755518	0.226727466
42	C_d21_C3	d21	C3	21	calf	0.450612325	0.241349622	0.220090694
43	C_d21_C4	d21	C4	21	calf	0.407185412	0.235915661	0.233801584
44	C_d21_C5	d21	C5	21	calf	0.23445372	0.059260048	0.027370154
45	C_d21_C6	d21	C6	21	calf	0.361204484	-0.047179354	0.157719368
46	C_d21_C7	d21	C7	21	calf	0.324861656	-0.005254475	0.106178742
47	C_d21_C8	d21	C8	21	calf	0.355916146	0.0368872	0.174953814
48	C_d21_C9	d21	C9	21	calf	0.224784324	-0.066716014	0.201194328
49	C_d3_C1	d3	C1	3	calf	0.16803394	0.195451374	0.134571293
50	C_d3_C10	d3	C10	3	calf	-0.04590766	0.208250864	0.066358352
51	C_d3_C2	d3	C2	3	calf	-0.00139682	0.149774006	0.070442117
52	C_d3_C3	d3	C3	3	calf	0.027116758	0.117547038	0.068024833
53	C_d3_C4	d3	C4	3	calf	-0.166325454	0.109726582	-0.072261134
54	C_d3_C5	d3	C5	3	calf	-0.396163912	-0.186899915	-0.255544879
55	C_d3_C6	d3	C6	3	calf	-0.022538662	-0.185461634	-0.183138455
56	C_d3_C7	d3	C7	3	calf	-0.175652147	-0.2066913	-0.118005967
57	C_d3_C8	d3	C8	3	calf	-0.0697683	-0.137661813	-0.00248445
58	C_d3_C9	d3	C9	3	calf	-0.025821363	-0.190707602	-0.01518122
59	C_d7_C1	d7	C1	7	calf	0.388329275	0.173561797	0.225636851
60	C_d7_C10	d7	C10	7	calf	0.255041555	0.206789173	0.132252696
61	C_d7_C2	d7	C2	7	calf	0.267594107	0.208683647	0.162806771
62	C_d7_C3	d7	C3	7	calf	0.272330484	0.188948933	0.118269411
63	C_d7_C4	d7	C4	7	calf	0.146254062	0.157986729	0.116563189
64	C_d7_C5	d7	C5	7	calf	-0.282205345	-0.156243956	-0.166509201
65	C_d7_C6	d7	C6	7	calf	0.086688699	-0.157999008	-0.00628029
66	C_d7_C7	d7	C7	7	calf	0.093352257	-0.13891855	0.062847599
67	C_d7_C8	d7	C8	7	calf	0.156232219	-0.053089996	0.076782264
68	C_d7_C9	d7	C9	7	calf	0.149361127	-0.172170612	0.088928773
1	P_d0_P1	d0	P1	0	piglet	-0.161815283	-0.158117078	0.026820988
2	P_d0_P10	d0	P10	0	piglet	-0.262707682	-0.050604151	0.136571523
3	P_d0_P2	d0	P2	0	piglet	-0.250255224	-0.188273659	0.119870662
4	P_d0_P3	d0	P3	0	piglet	-0.171298549	0.027278505	0.121092713
5	P_d0_P4	d0	P4	0	piglet	-0.257157049	-0.102945444	0.096793302
