	ID	Day_cat	Animal	Day	type	observed_features	shannon_entropy	pielou_evenness	faith_pd	simpson	simpson_e
41	P_d21_P1	d21	P1	21	piglet	127	3.446386605	0.493138088	10.89856204	0.766256463	0.03368656
42	P_d21_P10	d21	P10	21	piglet	93	3.492992013	0.534165344	8.975592514	0.821641084	0.060286799
43	P_d21_P2	d21	P2	21	piglet	257	4.434874867	0.55396988	17.61248808	0.862748604	0.028349807
44	P_d21_P3	d21	P3	21	piglet	119	4.379139461	0.63513491	9.262845359	0.917925508	0.102387003
45	P_d21_P4	d21	P4	21	piglet	96	4.149027916	0.630076165	9.185840256	0.893243887	0.097574428
46	P_d21_P6	d21	P6	21	piglet	87	4.210636163	0.653526787	8.662540483	0.912750016	0.131739313
47	P_d21_P7	d21	P7	21	piglet	108	3.350323963	0.495985161	9.829493177	0.806887857	0.047947577
48	P_d21_P8	d21	P8	21	piglet	155	4.094255115	0.562697239	13.27313816	0.886997581	0.057092697
49	P_d21_P9	d21	P9	21	piglet	185	4.601193395	0.610936177	11.84079019	0.905048789	0.056928241
50	P_d3_P1	d3	P1	3	piglet	254	6.426471059	0.804446703	16.13554683	0.978987884	0.187368463
51	P_d3_P10	d3	P10	3	piglet	203	5.987145705	0.781067623	13.08410207	0.973334288	0.184735675
52	P_d3_P2	d3	P2	3	piglet	280	6.309603705	0.776157466	18.22529782	0.978194079	0.163782516
53	P_d3_P3	d3	P3	3	piglet	240	5.062413225	0.640253354	13.29454987	0.89439661	0.039455804
54	P_d3_P4	d3	P4	3	piglet	216	6.095494573	0.786019729	14.13633428	0.97192996	0.164931351
55	P_d3_P5	d3	P5	3	piglet	222	5.91187766	0.758476037	14.79862775	0.962184664	0.119118459
56	P_d3_P6	d3	P6	3	piglet	193	5.743964747	0.756535693	12.5651388	0.963552793	0.142160334
57	P_d3_P8	d3	P8	3	piglet	282	6.591608005	0.809824488	17.39940016	0.981623076	0.192964786
58	P_d3_P9	d3	P9	3	piglet	211	5.850859924	0.757775516	12.43529257	0.962020339	0.124786172
59	P_d7_P1	d7	P1	7	piglet	256	5.883110846	0.735388856	16.54461596	0.961061357	0.100318084
60	P_d7_P10	d7	P10	7	piglet	243	5.910605403	0.745835362	15.14730105	0.965934935	0.120804888
61	P_d7_P2	d7	P2	7	piglet	288	6.460892406	0.790814164	19.35325825	0.9785752	0.162065563
62	P_d7_P3	d7	P3	7	piglet	148	3.916069514	0.543185359	10.769733	0.783086344	0.031149522
63	P_d7_P4	d7	P4	7	piglet	183	5.556909492	0.739373526	12.48591038	0.94652992	0.102196983
64	P_d7_P5	d7	P5	7	piglet	249	5.634460014	0.707846564	16.32355026	0.928755506	0.05637017
65	P_d7_P6	d7	P6	7	piglet	137	4.187973364	0.59001894	10.28997057	0.854768916	0.050259696
66	P_d7_P7	d7	P7	7	piglet	172	5.279255631	0.710889768	14.74085456	0.930785221	0.08399873
67	P_d7_P8	d7	P8	7	piglet	225	4.743611839	0.607082758	15.27762762	0.882014694	0.037669474
68	P_d7_P9	d7	P9	7	piglet	233	5.703059108	0.725193809	14.19947594	0.954197951	0.093704226
